INTERSECTION,CAMERA_INSTALL_YEAR,LATITUDE,LONGITUDE,X,Y,CAMERA_FACING,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL_VIOLATIONS,HIGHEST_MONTHLY_TOTAL,ObjectId
KING EDWARD @ ST. ANDREW ,2012,45.43379539,-75.68991198,368182.703,5032970.591,Northbound,203,206,162,46,138,263,321,347,249,223,202,122,2482,347,28
MERIVALE @ MEADOWLANDS,2001,45.35090342,-75.73351715,364858.6981,5023725.511,Northbound,33,16,32,17,38,33,39,37,44,46,36,31,402,46,29
HERON @ RIVERSIDE ,2001,45.37677184,-75.69148988,368122.926,5026632.41,Eastbound,48,36,31,17,52,77,86,94,67,43,38,11,600,94,30
CARLING @ RICHMOND,2001,45.36078523,-75.79226646,360245.6751,5024781.518,Westbound,34,41,35,13,79,102,130,103,70,62,74,46,789,130,31
BRONSON @ CARLING / GLEBE,2001,45.40100097,-75.69965431,367456.7071,5029318.558,Southbound,57,63,40,20,62,82,79,82,73,67,67,37,729,82,32
COVENTRY / OGILVIE @ ST. LAURENT ,2001,45.4242409,-75.63736161,372305.7211,5031951.574,Northbound,27,33,34,58,60,57,71,67,60,41,41,38,587,71,33
HAZELDEAN / ROBERTSON @ EAGLESON,2001,45.30407235,-75.87677745,353673.6249,5018424.46,Southbound,26,13,12,14,23,23,18,28,22,24,20,11,234,28,34
BERRIGAN @ WESSEX / GREENBANK,2016,45.2749753,-75.74900599,363723.6849,5015276.436,Northbound,34,75,41,41,60,71,70,68,76,61,54,64,715,76,35
ST. JOSEPH @ OLD TENTH LINE ,2018,45.48460028,-75.49810341,383119.7471,5038785.587,Eastbound,33,53,26,23,40,36,41,50,40,25,48,32,447,53,36
CATHERINE @ KENT,2017,45.40878852,-75.69378269,367907.7071,5030188.565,Northbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,37
BANK @ RIVERSIDE S. ,2017,45.38802034,-75.67623737,369304.7159,5027894.545,Northbound,95,60,117,67,101,133,137,151,85,82,77,58,1163,151,38
KIRKWOOD @ COLDREY,2017,45.38163119,-75.73846511,364438.6959,5027136.54,Northbound,70,39,44,27,40,64,89,82,81,62,53,35,686,89,39
GLADSTONE @ ROCHESTER,2017,45.40529157,-75.70973672,366662.703,5029787.563,Westbound,50,48,37,15,30,48,60,40,45,34,38,27,472,60,40
BAY @ SLATER,2018,45.41687927,-75.70547366,366983.7019,5031078.574,Eastbound,50,53,30,12,27,31,45,26,0,0,0,0,274,53,41
BRONSON @ POWELL,2017,45.40243467,-75.70051327,367387.8789,5029477.214,Southbound,94,58,61,43,67,105,97,114,81,64,53,30,867,114,42
ELGIN @ SLATER,2018,45.42190879,-75.69381322,367890.7049,5031646.579,Eastbound,39,33,46,26,26,33,25,75,22,30,17,21,393,75,43
KENT @ ARLINGTON,2018,45.40941288,-75.69427205,367868.7071,5030257.566,Northbound,183,171,137,103,171,132,155,314,247,153,89,80,1935,314,44
AVIATION PARKWAY @ MONTREAL,2017,45.44366406,-75.63909822,372146.7151,5034108.594,Eastbound,23,32,28,3,28,48,47,58,37,47,39,27,417,58,45
PRINCE OF WALES @ HOGS BACK / MEADOWLANDS,2017,45.36839102,-75.70119678,367371.9189,5025693.477,Northbound,63,58,46,27,57,87,80,92,61,53,25,38,687,92,46
MURRAY @ SUSSEX,2018,45.4286548,-75.69605817,367707.526,5032394.497,Northbound,43,36,27,21,26,39,34,47,35,28,37,49,422,0,47
FALLOWFIELD @ CEDARVIEW,2017,45.27866592,-75.7799176,361294.6699,5015664.437,Westbound,N/A,N/A,N/A,N/A,N/A,N/A,21,24,21,22,20,25,133,25,48
INNES @ ORLEANS,2017,45.44450342,-75.53280378,380460.7951,5034296.403,Southbound,13,7,6,9,9,12,11,15,12,14,7,10,125,15,49
WALKLEY @ GLENHAVEN / ANAND,2017,45.36973398,-75.66494736,370209.861,5025871.531,Eastbound,63,66,53,65,80,104,131,104,101,89,60,76,992,131,50
ST. JOSEPH @ TENTH LINE ,2018,45.48355406,-75.50105058,382890.809,5038666.453,Eastbound,21,13,23,23,31,37,32,24,25,18,26,26,299,37,51
HERON @ 155m W OF BANK ,2017,45.3784036,-75.66945865,369846.5513,5026831.311,Eastbound,265,169,112,29,1,N/A,N/A,0,0,0,0,0,576,265,52
TENTH LINE @ VANGUARD,2017,45.45833915,-75.48637951,384073.031,5035878.694,Northbound,43,54,38,34,55,71,45,54,42,52,40,29,557,71,53
HAWTHORNE @ LEITRIM ,2017,45.34061302,-75.57823933,377038.7589,5022709.501,Northbound,8,4,2,2,7,4,13,6,6,7,5,6,70,13,54
LYON @ SLATER,2018,45.417535,-75.703944,367102.703,5031152.575,Southbound,71,75,74,41,70,138,166,158,108,43,31,34,1009,166,55
WALKLEY @ RYDER / DON RIED,2020,45.3822204,-75.63422114,372601.7269,5027284.544,Westbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85,216,115,127,112,655,216,56
BANK @ HUNT CLUB,2020,45.35363104,-75.64733066,371608.731,5024096.514,Northbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,12,16,5,14,49,16,57
O'CONNOR ST @ HWY 417 WB ON RAMP / CATHERINE,2020,45.41059366,-75.68946433,368243.711,5030392.564,Southbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,12,9,10,10,44,12,58
CARLING @ IROQUOIS,2020,45.37182033,-75.76700336,362213.686,5026025.53,Eastbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56,141,116,82,59,454,141,59
KING EDWARD @ BESSERER,2020,45.42809335,-75.68529062,368550.7052,5032340.582,Northbound,N/A,N/A,N/A,N/A,162,213,239,251,225,158,164,7,1419,251,60
RUSSELL @ ST-LAURENT,2020,45.39990521,-75.62158646,373569.7331,5029260.545,Southbound,16,49,43,44,194,315,290,302,307,220,248,193,2221,315,61
