INTERSECTION,CAMERA_INSTALL_YEAR,LATITUDE,LONGITUDE,X,Y,CAMERA_FACING,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL_VIOLATIONS,HIGHEST_MONTHLY_TOTAL,FID
BAY @ SLATER,2018,45.4168792651903,-75.7054736582065,366983.7019,5031078.574,Eastbound,60,42,39,43,75,98,85,83,79,86,61,55,806,98,41
BRONSON @ POWELL,2017,45.4024346708227,-75.700513271232,367387.8789,5029477.214,Southbound,29,10,2,3,31,102,113,105,118,67,71,108,759,118,42
ELGIN @ SLATER,2018,45.4219087908478,-75.6938132193261,367890.7049,5031646.5789,Eastbound,37,39,35,42,35,42,51,58,54,252,38,36,719,252,43
KENT @ ARLINGTON,2018,45.4094128847803,-75.6942720468272,367868.7071,5030257.566,Northbound,51,92,59,95,234,468,516,511,354,79,177,189,2825,516,44
AVIATION PARKWAY @ MONTREAL,2017,45.4436640643479,-75.6390982160083,372146.7151,5034108.594,Eastbound,30,59,32,15,22,69,77,56,71,95,55,30,611,95,45
PRINCE OF WALES @ HOGS BACK / MEADOWLANDS,2017,45.3683910162106,-75.701196779667,367371.9189,5025693.477,Northbound,48,28,34,48,31,55,70,112,121,57,74,76,754,121,46
MURRAY @ SUSSEX,2018,45.428654804103,-75.6960581665855,367707.526,5032394.497,Northbound,27,34,21,58,77,73,88,57,54,N/A,34,40,563,88,47
FALLOWFIELD @ CEDARVIEW,2017,45.278665922032,-75.7799175968818,361294.6699,5015664.437,Westbound,42,23,17,27,29,34,44,32,N/A,10,N/A,N/A,258,44,48
INNES @ ORLEANS,2017,45.4445034213538,-75.5328037773343,380460.7951,5034296.403,Southbound,19,14,16,22,13,21,26,20,15,153,14,9,342,153,49
WALKLEY @ GLENHAVEN / ANAND,2017,45.3697339793582,-75.6649473621259,370209.861,5025871.5306,Eastbound,71,61,84,120,123,147,150,153,114,38,121,100,1282,153,50
ST. JOSEPH @ TENTH LINE ,2018,45.4835540625567,-75.501050576241,382890.809,5038666.4529,Eastbound,14,19,17,22,40,43,30,34,30,306,23,23,601,306,51
HERON @ 155m W OF BANK ,2017,45.3784036006976,-75.6694586450074,369846.5513,5026831.3114,Eastbound,280,142,94,11,121,350,360,390,364,48,330,216,2706,390,52
TENTH LINE @ VANGUARD,2017,45.4583391526192,-75.4863795114455,384073.031,5035878.694,Northbound,52,45,35,28,32,60,64,78,44,10,52,45,545,78,53
HAWTHORNE @ LEITRIM ,2017,45.3406130237996,-75.5782393258675,377038.7589,5022709.5011,Northbound,7,5,3,9,6,3,12,6,9,169,4,4,237,169,54
LYON @ SLATER,2018,45.417535,-75.703944,367102.703,5031152.5751,Southbound,45,24,54,40,199,231,287,197,165,N/A,150,131,1523,287,55
