INTERSECTION,CAMERA_INSTALL_YEAR,LATITUDE,LONGITUDE,X,Y,CAMERA_FACING,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL_VIOLATIONS,HIGHEST_MONTHLY_TOTAL,FID
BANK @ RIVERSIDE S. ,2017,45.3880203388791,-75.6762373708842,369304.7159,5027894.5449,Northbound,126,134,139,115,171,190,214,215,189,161,144,140,1938,215,38
KIRKWOOD @ COLDREY,2017,45.3816311944178,-75.7384651068835,364438.6959,5027136.54,Northbound,75,70,93,82,159,212,231,237,216,192,28,N/A,1595,237,39
GLADSTONE @ ROCHESTER,2017,45.4052915663227,-75.7097367170391,366662.703,5029787.563,Westbound,3,36,23,10,81,18,N/A,N/A,N/A,N/A,27,63,261,81,40
BAY @ SLATER,2018,45.4168792651903,-75.7054736582065,366983.7019,5031078.574,Eastbound,N/A,N/A,N/A,38,102,93,118,105,116,93,87,87,839,118,41
BRONSON @ POWELL,2017,45.4024346708227,-75.700513271232,367387.8789,5029477.214,Southbound,19,20,38,103,105,103,122,115,91,72,75,88,951,122,42
ELGIN @ SLATER,2018,45.4219087908478,-75.6938132193261,367890.7049,5031646.5789,Eastbound,N/A,N/A,N/A,N/A,N/A,N/A,60,40,34,23,12,50,219,60,43
KENT @ ARLINGTON,2018,45.4094128847803,-75.6942720468272,367868.7071,5030257.566,Northbound,N/A,N/A,N/A,N/A,N/A,N/A,163,222,186,147,117,126,961,222,44
AVIATION PARKWAY @ MONTREAL,2017,45.4436640643479,-75.6390982160083,372146.7151,5034108.594,Eastbound,22,24,21,16,32,53,68,84,104,82,52,26,584,104,45
PRINCE OF WALES @ HOGS BACK / MEADOWLANDS,2017,45.3683910162106,-75.701196779667,367371.9189,5025693.477,Northbound,42,45,9,27,28,34,54,42,38,37,35,40,431,54,46
MURRAY @ SUSSEX,2018,45.428654804103,-75.6960581665855,367707.526,5032394.497,Northbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64,83,73,49,55,324,N/A,47
FALLOWFIELD @ CEDARVIEW,2017,45.278665922032,-75.7799175968818,361294.6699,5015664.437,Westbound,26,18,21,11,43,36,33,30,20,26,25,24,313,43,48
INNES @ ORLEANS,2017,45.4445034213538,-75.5328037773343,380460.7951,5034296.403,Southbound,13,13,10,15,16,26,23,8,15,17,13,14,183,26,49
WALKLEY @ GLENHAVEN / ANAND,2017,45.3697339793582,-75.6649473621259,370209.861,5025871.5306,Eastbound,68,50,134,123,143,165,3,N/A,30,142,130,80,1068,165,50
ST. JOSEPH @ TENTH LINE ,2018,45.4835540625567,-75.501050576241,382890.809,5038666.4529,Eastbound,N/A,N/A,N/A,8,19,33,42,39,32,36,31,15,255,42,51
HERON @ 155m W OF BANK ,2017,45.3784036006976,-75.6694586450074,369846.5513,5026831.3114,Eastbound,195,143,60,23,367,338,363,396,360,382,316,237,3180,396,52
TENTH LINE @ VANGUARD,2017,45.4583391526192,-75.4863795114455,384073.031,5035878.694,Northbound,75,80,66,42,72,47,90,86,101,91,73,75,898,101,53
HAWTHORNE @ LEITRIM ,2017,45.3406130237996,-75.5782393258675,377038.7589,5022709.5011,Northbound,5,5,4,2,9,8,9,14,7,7,8,4,82,14,54
LYON @ SLATER,2018,45.417535,-75.703944,367102.703,5031152.5751,Southbound,N/A,N/A,N/A,N/A,N/A,N/A,161,192,153,143,114,87,850,192,55
